word,count,disc_count,fw_count,estimate,leftover_prob
for_me,31,30.3,1092,0.027747253,0.587096774
last_year,31,30.3,145,0.208965517,0.496774194
over_the,31,30.3,127,0.238582677,0.541935484
some_of,31,30.3,212,0.142924528,0.203225806
way_to,31,30.3,134,0.226119403,0.496774194
the_most,31,30.3,4856,0.006239703,0.519354839
you_want,31,30.3,1035,0.029275362,0.361290323
was_the,30,29.3,638,0.045924765,0.653333333
lot_of,30,29.3,55,0.532727273,0.63
able_to,30,29.3,30,0.976666667,0.653333333
at_least,30,29.3,601,0.04875208,0.56
like_a,30,29.3,245,0.119591837,0.7
when_you,29,28.3,271,0.104428044,0.579310345
the_world,29,28.3,4856,0.005827842,0.627586207
you_need,29,28.3,1035,0.027342995,0.217241379
not_to,29,28.3,455,0.062197802,0.579310345
a_new,29,28.3,2406,0.011762261,0.651724138
the_time,29,28.3,4856,0.005827842,0.45862069
is_that,29,28.3,1138,0.02486819,0.555172414
had_a,28,27.3,226,0.12079646,0.625
what_i,28,27.3,304,0.089802632,0.55
that_we,28,27.3,1112,0.02455036,0.55
part_of,28,27.3,52,0.525,0.3
that_you,28,27.3,1112,0.02455036,0.625
of_your,28,27.3,1984,0.013760081,0.6
that_are,28,27.3,1112,0.02455036,0.65
all_of,28,27.3,340,0.080294118,0.275
the_last,28,27.3,4856,0.005621911,0.575
about_it,27,26.3,351,0.074928775,0.622222222
and_it,27,26.3,2430,0.010823045,0.388888889
i_will,27,26.3,1571,0.016740929,0.518518519
i_did,26,25.3,1571,0.016104392,0.565384615
time_to,26,25.3,212,0.119339623,0.592307692
the_day,26,25.3,4856,0.005210049,0.619230769
kind_of,26,25.3,32,0.790625,0.673076923
as_well,25,24.3,492,0.049390244,0.364
it_to,25,24.3,936,0.025961538,0.56
the_next,25,24.3,4856,0.005004119,0.588
be_the,25,24.3,527,0.046110057,0.476
to_you,25,24.3,2827,0.008595684,0.588
a_bit,25,24.3,2406,0.010099751,0.532
the_end,25,24.3,4856,0.005004119,0.28
we_can,25,24.3,453,0.053642384,0.588
the_only,25,24.3,4856,0.005004119,0.532
through_the,25,24.3,82,0.296341463,0.672
i_can't,25,24.3,1571,0.015467855,0.56
in_this,25,24.3,1587,0.015311909,0.588
according_to,25,24.3,25,0.972,0.448
did_not,25,24.3,110,0.220909091,0.56
i_hope,24,23.3,1571,0.014831318,0.320833333
i_got,24,23.3,1571,0.014831318,0.525
the_past,24,23.3,4856,0.004798188,0.554166667
to_say,24,23.3,2827,0.008241953,0.495833333
you_know,24,23.3,1035,0.022512077,0.583333333
and_other,24,23.3,2430,0.009588477,0.7
out_to,24,23.3,282,0.082624113,0.6125
this_year,24,23.3,563,0.041385435,0.641666667
they_were,23,22.3,340,0.065588235,0.7
of_those,23,22.3,1984,0.011239919,0.639130435
it's_not,23,22.3,185,0.120540541,0.669565217
not_a,23,22.3,455,0.049010989,0.669565217
right_now,23,22.3,113,0.197345133,0.639130435
is_an,23,22.3,1138,0.019595782,0.669565217
on_your,23,22.3,869,0.02566168,0.669565217
you_will,23,22.3,1035,0.021545894,0.547826087
said_the,23,22.3,328,0.067987805,0.7
to_find,23,22.3,2827,0.007888221,0.486956522
is_to,23,22.3,1138,0.019595782,0.608695652
to_help,23,22.3,2827,0.007888221,0.669565217
to_keep,23,22.3,2827,0.007888221,0.57826087
i_do,22,21.3,1571,0.013558243,0.477272727
like_to,22,21.3,245,0.086938776,0.572727273
for_you,22,21.3,1092,0.019505495,0.636363636
the_city,22,21.3,4856,0.004386326,0.636363636
in_his,22,21.3,1587,0.01342155,0.636363636
to_hear,22,21.3,2827,0.007534489,0.477272727
know_what,22,21.3,143,0.148951049,0.540909091
said_he,22,21.3,328,0.064939024,0.604545455
i_want,22,21.3,1571,0.013558243,0.318181818
i_could,22,21.3,1571,0.013558243,0.509090909
have_the,22,21.3,518,0.041119691,0.572727273
i_feel,22,21.3,1571,0.013558243,0.381818182
as_i,21,20.3,492,0.041260163,0.533333333
to_me,21,20.3,2827,0.007180757,0.633333333
off_the,21,20.3,109,0.186238532,0.666666667
from_a,21,20.3,394,0.051522843,0.666666667
how_to,21,20.3,161,0.126086957,0.633333333
get_a,21,20.3,202,0.10049505,0.533333333
she_said,21,20.3,229,0.088646288,0.6
into_a,21,20.3,151,0.134437086,0.7
when_he,21,20.3,271,0.074907749,0.566666667
to_take,21,20.3,2827,0.007180757,0.566666667
and_you,21,20.3,2430,0.008353909,0.566666667
that_was,21,20.3,1112,0.018255396,0.566666667
around_the,20,19.3,83,0.23253012,0.63
go_to,20,19.3,127,0.151968504,0.455
there_was,20,19.3,227,0.085022026,0.35
we_were,20,19.3,453,0.042604857,0.665
the_state,20,19.3,4856,0.003974465,0.56
she_was,20,19.3,229,0.084279476,0.595
has_a,20,19.3,245,0.07877551,0.665
if_i,20,19.3,280,0.068928571,0.63
by_a,20,19.3,290,0.066551724,0.665
to_my,20,19.3,2827,0.006827025,0.665
that_they,20,19.3,1112,0.017356115,0.56
would_have,20,19.3,178,0.108426966,0.385
not_only,20,19.3,455,0.042417582,0.595
for_this,20,19.3,1092,0.017673993,0.665
forward_to,20,19.3,35,0.551428571,0.56
up_and,19,18.3,301,0.060797342,0.663157895
hope_you,19,18.3,58,0.315517241,0.589473684
should_be,19,18.3,69,0.265217391,0.7
look_at,19,18.3,73,0.250684932,0.442105263
up_in,19,18.3,301,0.060797342,0.442105263
it_would,19,18.3,936,0.019551282,0.294736842
who_are,19,18.3,258,0.070930233,0.7
on_my,19,18.3,869,0.021058688,0.7
in_that,19,18.3,1587,0.011531191,0.626315789
what_you,18,17.3,304,0.056907895,0.583333333
are_not,18,17.3,531,0.032580038,0.622222222
said_i,18,17.3,328,0.052743902,0.622222222
up_with,18,17.3,301,0.057475083,0.544444444
of_our,18,17.3,1984,0.008719758,0.661111111
to_work,18,17.3,2827,0.006119561,0.583333333
its_a,18,17.3,198,0.087373737,0.583333333
during_the,18,17.3,52,0.332692308,0.661111111
up_the,18,17.3,301,0.057475083,0.622222222
wait_to,18,17.3,38,0.455263158,0.35
you_don't,18,17.3,1035,0.016714976,0.466666667
of_this,18,17.3,1984,0.008719758,0.7
of_course,18,17.3,1984,0.008719758,0.7
are_the,18,17.3,531,0.032580038,0.622222222
the_game,18,17.3,4856,0.003562603,0.661111111
can_be,18,17.3,225,0.076888889,0.7
wanted_to,18,17.3,28,0.617857143,0.7
of_their,18,17.3,1984,0.008719758,0.661111111
thanks_to,18,17.3,92,0.188043478,0.505555556
the_second,18,17.3,4856,0.003562603,0.622222222
you_get,18,17.3,1035,0.016714976,0.661111111
but_it,18,17.3,498,0.034738956,0.466666667
is_my,18,17.3,1138,0.015202109,0.7
so_many,18,17.3,387,0.044702842,0.622222222
this_week,18,17.3,563,0.030728242,0.544444444
what_is,17,16.3,304,0.053618421,0.576470588
could_be,17,16.3,111,0.146846847,0.617647059
i'm_not,17,16.3,165,0.098787879,0.494117647
end_of,17,16.3,41,0.397560976,0.205882353
at_all,17,16.3,601,0.027121464,0.617647059
used_to,17,16.3,57,0.285964912,0.576470588
at_this,17,16.3,601,0.027121464,0.329411765
a_very,17,16.3,2406,0.00677473,0.576470588
such_a,17,16.3,46,0.354347826,0.658823529
got_a,17,16.3,104,0.156730769,0.7
high_school,17,16.3,51,0.319607843,0.7
if_the,17,16.3,280,0.058214286,0.7
they_will,17,16.3,340,0.047941176,0.494117647
and_my,17,16.3,2430,0.006707819,0.7
think_i,17,16.3,140,0.116428571,0.535294118
in_her,17,16.3,1587,0.010270951,0.658823529
the_fact,17,16.3,4856,0.003356672,0.164705882
the_right,17,16.3,4856,0.003356672,0.576470588
what_a,17,16.3,304,0.053618421,0.494117647
a_couple,17,16.3,2406,0.00677473,0.288235294
it_i,17,16.3,936,0.01741453,0.535294118
had_to,17,16.3,226,0.072123894,0.7
them_to,16,15.3,182,0.084065934,0.56875
then_i,16,15.3,137,0.111678832,0.7
the_house,16,15.3,4856,0.003150741,0.7
be_in,16,15.3,527,0.029032258,0.525
of_all,16,15.3,1984,0.007711694,0.56875
make_the,16,15.3,127,0.120472441,0.7
is_it,16,15.3,1138,0.01344464,0.7
which_is,16,15.3,149,0.102684564,0.6125
out_the,16,15.3,282,0.054255319,0.6125
i_would,16,15.3,1571,0.00973902,0.48125
i_need,16,15.3,1571,0.00973902,0.2625
people_who,16,15.3,175,0.087428571,0.6125
because_of,16,15.3,127,0.120472441,0.6125
the_top,16,15.3,4856,0.003150741,0.56875
new_york,16,15.3,184,0.083152174,0.65625
in_your,16,15.3,1587,0.009640832,0.65625
we_had,16,15.3,453,0.033774834,0.56875
in_and,16,15.3,1587,0.009640832,0.65625
are_a,16,15.3,531,0.028813559,0.7
of_them,16,15.3,1984,0.007711694,0.7
to_play,16,15.3,2827,0.005412098,0.6125
fact_that,16,15.3,32,0.478125,0.65625
is_going,16,15.3,1138,0.01344464,0.21875
than_the,16,15.3,148,0.103378378,0.65625
can't_wait,16,15.3,58,0.263793103,0.13125
you_guys,16,15.3,1035,0.014782609,0.7
i_thought,16,15.3,1571,0.00973902,0.525
looking_forward,16,15.3,53,0.288679245,0.04375
like_the,16,15.3,245,0.06244898,0.7
in_their,16,15.3,1587,0.009640832,0.6125
a_year,16,15.3,2406,0.006359102,0.525
had_the,15,14.3,226,0.063274336,0.56
last_week,15,14.3,145,0.09862069,0.606666667
decided_to,15,14.3,21,0.680952381,0.653333333
for_my,15,14.3,1092,0.013095238,0.7
it_will,15,14.3,936,0.015277778,0.42
this_time,15,14.3,563,0.025399645,0.466666667
of_her,15,14.3,1984,0.007207661,0.7
with_my,15,14.3,735,0.019455782,0.7
love_you,15,14.3,146,0.097945205,0.653333333
you_do,15,14.3,1035,0.013816425,0.606666667
last_night,15,14.3,145,0.09862069,0.513333333
it_and,15,14.3,936,0.015277778,0.653333333
do_not,15,14.3,243,0.058847737,0.606666667
going_on,15,14.3,127,0.112598425,0.7
to_buy,15,14.3,2827,0.005058366,0.513333333
try_to,15,14.3,39,0.366666667,0.56
a_small,15,14.3,2406,0.005943475,0.7
it_all,15,14.3,936,0.015277778,0.653333333
he_has,15,14.3,503,0.028429423,0.606666667
who_is,15,14.3,258,0.055426357,0.56
the_one,15,14.3,4856,0.002944811,0.653333333
for_it,15,14.3,1092,0.013095238,0.653333333
it_a,15,14.3,936,0.015277778,0.653333333
it_the,15,14.3,936,0.015277778,0.7
on_his,15,14.3,869,0.016455696,0.7
having_a,15,14.3,50,0.286,0.56
see_you,15,14.3,129,0.110852713,0.56
looking_for,15,14.3,53,0.269811321,0.606666667
is_in,14,13.3,1138,0.01168717,0.55
like_it,14,13.3,245,0.054285714,0.55
out_there,14,13.3,282,0.047163121,0.7
he_had,14,13.3,503,0.026441352,0.65
me_i,14,13.3,337,0.039465875,0.55
see_the,14,13.3,129,0.103100775,0.7
let_me,14,13.3,40,0.3325,0.5
need_a,14,13.3,111,0.11981982,0.7
the_u.s,14,13.3,4856,0.00273888,0.55
because_i,14,13.3,127,0.104724409,0.5
the_people,14,13.3,4856,0.00273888,0.5
are_in,14,13.3,531,0.025047081,0.65
as_much,14,13.3,492,0.02703252,0.25
about_a,14,13.3,351,0.037891738,0.7
she_is,14,13.3,229,0.058078603,0.7
and_they,14,13.3,2430,0.005473251,0.55
just_a,14,13.3,290,0.045862069,0.65
who_has,14,13.3,258,0.051550388,0.4
don't_know,14,13.3,119,0.111764706,0.4
to_her,14,13.3,2827,0.004704634,0.7
their_own,14,13.3,204,0.065196078,0.7
of_us,14,13.3,1984,0.006703629,0.7
with_you,14,13.3,735,0.018095238,0.7
and_he,14,13.3,2430,0.005473251,0.7
after_the,14,13.3,109,0.122018349,0.65
in_any,14,13.3,1587,0.008380592,0.6
because_it,14,13.3,127,0.104724409,0.5
that_she,14,13.3,1112,0.011960432,0.45
tell_you,14,13.3,46,0.289130435,0.55
what_they,14,13.3,304,0.04375,0.55
me_and,14,13.3,337,0.039465875,0.5
and_her,14,13.3,2430,0.005473251,0.7
and_in,14,13.3,2430,0.005473251,0.6
does_not,13,12.3,61,0.201639344,0.7
with_it,13,12.3,735,0.016734694,0.7
not_the,13,12.3,455,0.027032967,0.7
well_as,13,12.3,125,0.0984,0.646153846
i_guess,13,12.3,1571,0.007829408,0.538461538
working_on,13,12.3,45,0.273333333,0.646153846
you_were,13,12.3,1035,0.011884058,0.646153846
as_if,13,12.3,492,0.025,0.646153846
if_he,13,12.3,280,0.043928571,0.592307692
and_we,13,12.3,2430,0.005061728,0.538461538
number_of,13,12.3,27,0.455555556,0.7
st_louis,13,12.3,34,0.361764706,0.646153846
that_it,13,12.3,1112,0.011061151,0.430769231
i_really,13,12.3,1571,0.007829408,0.538461538
to_put,13,12.3,2827,0.004350902,0.7
and_that,13,12.3,2430,0.005061728,0.7
such_as,13,12.3,46,0.267391304,0.646153846
and_to,13,12.3,2430,0.005061728,0.7
of_it,13,12.3,1984,0.006199597,0.7
when_it,13,12.3,271,0.045387454,0.484615385
went_to,13,12.3,44,0.279545455,0.7
what_the,13,12.3,304,0.040460526,0.7
i_get,13,12.3,1571,0.007829408,0.592307692
in_an,13,12.3,1587,0.007750473,0.646153846
it_in,13,12.3,936,0.013141026,0.592307692
his_own,13,12.3,323,0.038080495,0.7
said_it,13,12.3,328,0.0375,0.430769231
to_our,13,12.3,2827,0.004350902,0.7
the_case,13,12.3,4856,0.002532949,0.7
full_of,13,12.3,35,0.351428571,0.7
even_if,13,12.3,108,0.113888889,0.484615385
and_their,13,12.3,2430,0.005061728,0.7
first_time,13,12.3,117,0.105128205,0.646153846
when_they,13,12.3,271,0.045387454,0.646153846
we_need,13,12.3,453,0.027152318,0.323076923
ready_for,13,12.3,35,0.351428571,0.592307692
feel_like,13,12.3,67,0.18358209,0.592307692
i_miss,13,12.3,1571,0.007829408,0.430769231
most_of,13,12.3,86,0.143023256,0.323076923
get_it,13,12.3,202,0.060891089,0.7
couple_of,13,12.3,26,0.473076923,0.646153846
not_sure,13,12.3,455,0.027032967,0.484615385
but_not,12,11.3,498,0.022690763,0.641666667
up_for,12,11.3,301,0.037541528,0.7
it_but,12,11.3,936,0.01207265,0.641666667
of_that,12,11.3,1984,0.005695565,0.7
but_he,12,11.3,498,0.022690763,0.7
do_i,12,11.3,243,0.046502058,0.583333333
with_them,12,11.3,735,0.01537415,0.583333333
them_and,12,11.3,182,0.062087912,0.7
sense_of,12,11.3,22,0.513636364,0.525
when_the,12,11.3,271,0.041697417,0.7
out_with,12,11.3,282,0.040070922,0.641666667
a_man,12,11.3,2406,0.004696592,0.7
you_all,12,11.3,1035,0.010917874,0.583333333
time_the,12,11.3,212,0.053301887,0.7
we_will,12,11.3,453,0.024944812,0.525
across_the,12,11.3,16,0.70625,0.525
must_be,12,11.3,35,0.322857143,0.7
and_she,12,11.3,2430,0.004650206,0.7
i_dont,12,11.3,1571,0.007192871,0.408333333
with_his,12,11.3,735,0.01537415,0.7
to_know,12,11.3,2827,0.00399717,0.35
know_if,12,11.3,143,0.079020979,0.466666667
being_a,12,11.3,98,0.115306122,0.7
is_what,12,11.3,1138,0.009929701,0.525
i_didn't,12,11.3,1571,0.007192871,0.525
me_to,12,11.3,337,0.033531157,0.641666667
of_its,12,11.3,1984,0.005695565,0.7
out_and,12,11.3,282,0.040070922,0.7
do_it,12,11.3,243,0.046502058,0.641666667
today_i,12,11.3,100,0.113,0.583333333
and_is,12,11.3,2430,0.004650206,0.7
you_to,12,11.3,1035,0.010917874,0.641666667
did_you,12,11.3,110,0.102727273,0.525
the_idea,12,11.3,4856,0.002327018,0.233333333
those_who,12,11.3,88,0.128409091,0.7
take_the,12,11.3,90,0.125555556,0.641666667
come_to,12,11.3,83,0.136144578,0.641666667
to_use,12,11.3,2827,0.00399717,0.583333333
no_one,12,11.3,201,0.056218905,0.641666667
of_you,12,11.3,1984,0.005695565,0.525
to_look,12,11.3,2827,0.00399717,0.466666667
follow_me,12,11.3,58,0.194827586,0.583333333
and_there,12,11.3,2430,0.004650206,0.35
you_think,12,11.3,1035,0.010917874,0.466666667
and_his,12,11.3,2430,0.004650206,0.7
talk_about,12,11.3,43,0.262790698,0.641666667
are_so,12,11.3,531,0.021280603,0.7
have_no,12,11.3,518,0.021814672,0.525
but_we,12,11.3,498,0.022690763,0.641666667
make_a,12,11.3,127,0.088976378,0.7
now_i,12,11.3,161,0.070186335,0.641666667
little_bit,12,11.3,73,0.154794521,0.466666667
its_not,12,11.3,198,0.057070707,0.641666667
when_we,12,11.3,271,0.041697417,0.583333333
they_have,12,11.3,340,0.033235294,0.7
all_day,12,11.3,340,0.033235294,0.7
so_we,12,11.3,387,0.029198966,0.583333333
hard_to,12,11.3,31,0.364516129,0.641666667
made_the,12,11.3,106,0.106603774,0.7
that_this,12,11.3,1112,0.010161871,0.525
this_was,11,10.3,563,0.018294849,0.445454545
we_all,11,10.3,453,0.022737307,0.636363636
but_it's,11,10.3,498,0.020682731,0.509090909
for_our,11,10.3,1092,0.009432234,0.7
i_say,11,10.3,1571,0.006556334,0.7
would_like,11,10.3,178,0.057865169,0.190909091
to_talk,11,10.3,2827,0.003643438,0.318181818
to_all,11,10.3,2827,0.003643438,0.445454545
every_time,11,10.3,75,0.137333333,0.509090909
there's_a,11,10.3,32,0.321875,0.509090909
on_this,11,10.3,869,0.011852704,0.7
to_give,11,10.3,2827,0.003643438,0.7
i_saw,11,10.3,1571,0.006556334,0.509090909
and_if,11,10.3,2430,0.004238683,0.318181818
and_has,11,10.3,2430,0.004238683,0.7
as_we,11,10.3,492,0.020934959,0.7
off_to,11,10.3,109,0.094495413,0.636363636
think_of,11,10.3,140,0.073571429,0.509090909
a_while,11,10.3,2406,0.004280964,0.572727273
to_stop,11,10.3,2827,0.003643438,0.572727273
of_life,11,10.3,1984,0.005191532,0.572727273
for_all,11,10.3,1092,0.009432234,0.572727273
i_made,11,10.3,1571,0.006556334,0.572727273
you_may,11,10.3,1035,0.009951691,0.572727273
love_to,11,10.3,146,0.070547945,0.636363636
what_are,11,10.3,304,0.033881579,0.318181818
know_that,11,10.3,143,0.072027972,0.7
the_follow,11,10.3,4856,0.002121087,0.7
is_also,11,10.3,1138,0.009050967,0.445454545
to_his,11,10.3,2827,0.003643438,0.7
check_out,11,10.3,36,0.286111111,0.509090909
we_do,11,10.3,453,0.022737307,0.636363636
it_has,11,10.3,936,0.011004274,0.572727273
it_on,11,10.3,936,0.011004274,0.509090909
to_your,11,10.3,2827,0.003643438,0.7
and_was,11,10.3,2430,0.004238683,0.7
can_you,11,10.3,225,0.045777778,0.572727273
them_in,11,10.3,182,0.056593407,0.572727273
they_say,11,10.3,340,0.030294118,0.7
last_month,11,10.3,145,0.071034483,0.7
him_to,11,10.3,116,0.088793103,0.636363636
that_would,11,10.3,1112,0.00926259,0.7
is_just,11,10.3,1138,0.009050967,0.636363636
i've_been,11,10.3,40,0.2575,0.7
a_day,11,10.3,2406,0.004280964,0.636363636
say_that,11,10.3,109,0.094495413,0.7
based_on,11,10.3,19,0.542105263,0.509090909
you_and,11,10.3,1035,0.009951691,0.572727273
was_in,11,10.3,638,0.016144201,0.572727273
lol_i,11,10.3,79,0.130379747,0.636363636
down_to,11,10.3,106,0.097169811,0.445454545
for_your,11,10.3,1092,0.009432234,0.572727273
sort_of,11,10.3,14,0.735714286,0.636363636
because_the,11,10.3,127,0.081102362,0.7
with_their,11,10.3,735,0.014013605,0.7
is_on,11,10.3,1138,0.009050967,0.572727273
what_it,11,10.3,304,0.033881579,0.254545455
or_not,11,10.3,294,0.035034014,0.7
a_way,11,10.3,2406,0.004280964,0.381818182
was_not,11,10.3,638,0.016144201,0.636363636
like_i,11,10.3,245,0.042040816,0.7
i_said,11,10.3,1571,0.006556334,0.7
and_when,11,10.3,2430,0.004238683,0.636363636
so_that,11,10.3,387,0.026614987,0.7
supposed_to,11,10.3,12,0.858333333,0.445454545
so_far,11,10.3,387,0.026614987,0.636363636
after_a,11,10.3,109,0.094495413,0.636363636
to_bring,11,10.3,2827,0.003643438,0.636363636
to_pay,11,10.3,2827,0.003643438,0.572727273
a_free,11,10.3,2406,0.004280964,0.7
too_much,11,10.3,126,0.081746032,0.572727273
is_more,11,10.3,1138,0.009050967,0.7
much_as,11,10.3,115,0.089565217,0.572727273
he_says,11,10.3,503,0.020477137,0.7
the_ball,11,10.3,4856,0.002121087,0.636363636
to_move,10,9.3,2827,0.003289706,0.49
the_school,10,9.3,4856,0.001915157,0.63
where_i,10,9.3,99,0.093939394,0.63
in_fact,10,9.3,1587,0.005860113,0.7
they_had,10,9.3,340,0.027352941,0.63
a_long,10,9.3,2406,0.003865337,0.63
how_do,10,9.3,161,0.057763975,0.28
how_much,10,9.3,161,0.057763975,0.49
got_to,10,9.3,104,0.089423077,0.49
and_some,10,9.3,2430,0.00382716,0.7
next_to,10,9.3,79,0.117721519,0.56
the_third,10,9.3,4856,0.001915157,0.63
the_story,10,9.3,4856,0.001915157,0.7
said_she,10,9.3,328,0.028353659,0.7
like_that,10,9.3,245,0.037959184,0.63
to_this,10,9.3,2827,0.003289706,0.7
the_good,10,9.3,4856,0.001915157,0.63
made_a,10,9.3,106,0.087735849,0.7
of_what,10,9.3,1984,0.0046875,0.7
made_it,10,9.3,106,0.087735849,0.56
that_a,10,9.3,1112,0.008363309,0.7
the_word,10,9.3,4856,0.001915157,0.63
you_like,10,9.3,1035,0.008985507,0.42
will_have,10,9.3,318,0.029245283,0.42
down_the,10,9.3,106,0.087735849,0.7
you_could,10,9.3,1035,0.008985507,0.63
of_people,10,9.3,1984,0.0046875,0.7
take_a,10,9.3,90,0.103333333,0.7
but_if,10,9.3,498,0.018674699,0.35
in_which,10,9.3,1587,0.005860113,0.56
but_also,10,9.3,498,0.018674699,0.56
but_when,10,9.3,498,0.018674699,0.56
make_it,10,9.3,127,0.073228346,0.63
was_so,10,9.3,638,0.014576803,0.7
years_ago,10,9.3,105,0.088571429,0.63
tried_to,10,9.3,20,0.465,0.7
they_can,10,9.3,340,0.027352941,0.7
before_the,10,9.3,85,0.109411765,0.7
to_meet,10,9.3,2827,0.003289706,0.63
and_all,10,9.3,2430,0.00382716,0.63
about_this,10,9.3,351,0.026495726,0.63
you_a,10,9.3,1035,0.008985507,0.7
away_from,10,9.3,39,0.238461538,0.42
been_a,10,9.3,161,0.057763975,0.56
time_i,10,9.3,212,0.043867925,0.7
to_watch,10,9.3,2827,0.003289706,0.56
she_has,10,9.3,229,0.040611354,0.56
i_hate,10,9.3,1571,0.005919796,0.63
to_their,10,9.3,2827,0.003289706,0.63
ready_to,10,9.3,35,0.265714286,0.63
one_day,10,9.3,270,0.034444444,0.63
time_of,10,9.3,212,0.043867925,0.35
