"word","p1","p1_estimate","p2","p2_estimate","p3","p3_estimate"
"until","the",0.173809524,"i",0.102380952,"it",0.054761905
"fun","and",0.054761905,"in",0.054761905,"the",0.03421198
"done","and",0.078571429,"in",0.054761905,"to",0.054761905
"set","up",0.104878049,"of",0.080487805,"out",0.056097561
"end","of",0.397560976,"the",0.080487805,"on",0.031707317
"different","things",0.031707317,"than",0.031707317,"football",0.031707317
"nothing","to",0.153658537,"but",0.104878049,"more",0.056097561
"i've","been",0.2575,"never",0.1075,"ever",0.0825
"let","me",0.3325,"us",0.0825,"go",0.0575
"might","be",0.1825,"have",0.1075,"not",0.0575
"county","officials",0.0825,"office",0.0325,"detention",0.0325
"bit","more",0.1325,"of",0.1075,"the",0.0575
"team","in",0.1075,"of",0.1075,"and",0.0825
"without","the",0.084615385,"authorization",0.058974359,"some",0.033333333
"away","from",0.238461538,"with",0.058974359,"i",0.058974359
"food","and",0.058974359,"the",0.03497706,"to",0.033333333
"makes","me",0.161538462,"the",0.11025641,"a",0.11025641
"news","for",0.058974359,"on",0.033333333,"of",0.033333333
"open","cup",0.058974359,"house",0.033333333,"in",0.033333333
"miss","you",0.161538462,"it",0.11025641,"the",0.058974359
"try","to",0.366666667,"not",0.084615385,"and",0.058974359
"minutes","and",0.192105263,"to",0.060526316,"left",0.034210526
"making","a",0.165789474,"the",0.086842105,"it",0.060526316
"small","businesses",0.086842105,"town",0.034210526,"business",0.034210526
"girl","was",0.060526316,"in",0.034210526,"scout",0.034210526
"weekend","the",0.034210526,"come",0.034210526,"for",0.034210526
"yet","to",0.139473684,"not",0.034210526,"that",0.034210526
"past","few",0.139473684,"a",0.034210526,"blogs",0.034210526
"month","the",0.060526316,"and",0.060526316,"ago",0.034210526
"wait","to",0.455263158,"for",0.060526316,"until",0.034210526
"trying","to",0.928947368,"something",0.007894737,"like",0.007894737
"thought","it",0.113157895,"to",0.086842105,"that",0.060526316
"nice","to",0.113157895,"job",0.034210526,"the",0.03135684
"friend","and",0.062162162,"who",0.062162162,"is",0.062162162
"book","i",0.062162162,"the",0.035135135,"this",0.035135135
"ever","been",0.062162162,"since",0.062162162,"come",0.035135135
"dont","want",0.143243243,"have",0.116216216,"know",0.089189189
"please","follow",0.089189189,"say",0.062162162,"contact",0.035135135
"left","in",0.116216216,"the",0.089189189,"to",0.062162162
"person","to",0.119444444,"who",0.091666667,"being",0.036111111
"haha","i",0.036111111,"you",0.036111111,"the",0.036111111
"start","to",0.091666667,"but",0.036111111,"with",0.036111111
"friday","and",0.091666667,"for",0.036111111,"is",0.036111111
"guy","i",0.063888889,"is",0.036111111,"who",0.036111111
"office","to",0.091666667,"space",0.036111111,"and",0.036111111
"white","sox",0.063888889,"of",0.036111111,"house",0.036111111
"coming","to",0.175,"up",0.091666667,"back",0.063888889
"check","out",0.286111111,"your",0.091666667,"my",0.036111111
"times","and",0.091666667,"the",0.036111111,"he",0.036111111
"four","years",0.063888889,"months",0.036111111,"to",0.036111111
"maybe","we",0.063888889,"its",0.063888889,"they",0.036111111
"music","and",0.065714286,"video",0.065714286,"i",0.037142857
"full","of",0.351428571,"time",0.037142857,"the",0.02177686
"read","the",0.065714286,"more",0.037142857,"and",0.037142857
"d","d",0.065714286,"is",0.037142857,"rt",0.037142857
"forward","to",0.551428571,"but",0.037142857,"the",0.01634116
"must","be",0.322857143,"have",0.037142857,"take",0.037142857
"hours","to",0.037142857,"and",0.037142857,"of",0.037142857
"p.m","is",0.3,"and",0.3,"sunday",0.122857143
"ready","for",0.351428571,"to",0.265714286,"and",0.037142857
"i'll","be",0.208571429,"look",0.037142857,"the",0.02628887
"five","years",0.155882353,"more",0.038235294,"olympics",0.038235294
"called","a",0.067647059,"it",0.038235294,"the",0.038235294
"support","of",0.155882353,"for",0.067647059,"from",0.038235294
"run","to",0.097058824,"out",0.067647059,"by",0.038235294
"name","of",0.126470588,"is",0.038235294,"a",0.038235294
"hit","the",0.126470588,"a",0.097058824,"me",0.067647059
"together","and",0.155882353,"to",0.038235294,"a",0.038235294
"real","estate",0.126470588,"but",0.038235294,"soon",0.038235294
"st","louis",0.361764706,"patty's",0.038235294,"our",0.038235294
"students","in",0.067647059,"who",0.038235294,"and",0.038235294
"believe","that",0.185294118,"in",0.067647059,"it",0.067647059
"stop","the",0.126470588,"by",0.067647059,"at",0.067647059
"anyone","else",0.126470588,"who",0.067647059,"that",0.067647059
"came","to",0.244117647,"out",0.126470588,"in",0.097058824
"between","the",0.244117647,"his",0.038235294,"being",0.038235294
"comes","to",0.214705882,"out",0.067647059,"in",0.067647059
"anything","else",0.126470588,"like",0.067647059,"they",0.067647059
"watching","the",0.221212121,"a",0.039393939,"his",0.039393939
"children","and",0.1,"in",0.06969697,"aged",0.039393939
"goes","to",0.13030303,"from",0.06969697,"on",0.039393939
"morning","i",0.039393939,"to",0.039393939,"with",0.039393939
"group","of",0.251515152,"the",0.02902098,"in",0.00948441
"hear","about",0.13030303,"the",0.06969697,"all",0.06969697
"least","one",0.1,"a",0.06969697,"it",0.039393939
"several","other",0.039393939,"levels",0.039393939,"the",0.03334186
"later","and",0.06969697,"i",0.039393939,"this",0.039393939
"police","said",0.13030303,"file",0.039393939,"officers",0.039393939
"there's","a",0.321875,"no",0.134375,"something",0.103125
"running","running",0.103125,"back",0.071875,"as",0.040625
"park","i",0.103125,"is",0.103125,"of",0.01381199
"we're","having",0.071875,"going",0.071875,"beginning",0.040625
"fact","that",0.478125,"the",0.040625,"you",0.040625
"mind","of",0.040625,"being",0.040625,"the",0.040625
"health","care",0.165625,"system",0.040625,"the",0.040625
"party","for",0.071875,"in",0.071875,"the",0.071875
"against","the",0.259375,"them",0.071875,"a",0.040625
"everything","i",0.071875,"they",0.071875,"but",0.040625
"kind","of",0.790625,"attendant",0.009375,"but",0.009375
"center","but",0.071875,"the",0.071875,"for",0.040625
"kids","to",0.134375,"and",0.103125,"i",0.071875
"local","market",0.040625,"the",0.03337594,"to",0.01943035
"president","barack",0.074193548,"i",0.041935484,"of",0.041935484
"top","of",0.170967742,"and",0.041935484,"the",0.02908002
"yes","i",0.074193548,"there",0.041935484,"it",0.041935484
"idea","that",0.203225806,"of",0.138709677,"to",0.041935484
"far","from",0.106451613,"as",0.106451613,"this",0.041935484
"hard","to",0.364516129,"on",0.074193548,"the",0.02079007
"actually","a",0.043333333,"get",0.043333333,"the",0.0335439
"doesn't","want",0.076666667,"mean",0.076666667,"it",0.043333333
"officials","said",0.143333333,"to",0.076666667,"in",0.076666667
"half","the",0.076666667,"of",0.043333333,"and",0.043333333
"late","to",0.076666667,"a",0.01726547,"of",0.01423719
"awesome","so",0.043333333,"to",0.02118937,"a",0.01803382
"become","the",0.176666667,"a",0.176666667,"more",0.11
"able","to",0.976666667,"the",0.00114698,"and",0.00057396
"second","half",0.11,"one",0.043333333,"time",0.043333333
"what's","the",0.143333333,"up",0.11,"going",0.076666667
"public","defender",0.076666667,"housing",0.043333333,"the",0.03029736
"took","a",0.143333333,"the",0.11,"over",0.076666667
"lost","in",0.043333333,"his",0.043333333,"her",0.043333333
"yeah","i",0.176666667,"the",0.02974611,"to",0.01731718
"face","a",0.076666667,"of",0.043333333,"got",0.043333333
"american","to",0.02058606,"and",0.01769513,"a",0.01752036
"myself","in",0.079310345,"so",0.044827586,"to",0.0200068
"under","the",0.217241379,"a",0.044827586,"to",0.01681375
"mean","a",0.079310345,"the",0.079310345,"i",0.044827586
"early","in",0.079310345,"i",0.044827586,"the",0.03264094
"u.s","to",0.1,"the",0.1,"driver",0.1
"less","than",0.182758621,"of",0.044827586,"the",0.02915762
"market","to",0.044827586,"is",0.044827586,"the",0.03563847
"street","and",0.079310345,"in",0.044827586,"the",0.03230805
"he's","the",0.079310345,"a",0.044827586,"not",0.044827586
"percent","of",0.251724138,"off",0.044827586,"over",0.044827586
"using","a",0.148275862,"it",0.079310345,"the",0.044827586
"taking","a",0.117857143,"the",0.117857143,"place",0.046428571
"tomorrow","i",0.082142857,"is",0.046428571,"the",0.03299805
"didnt","have",0.082142857,"do",0.046428571,"know",0.046428571
"monday","night",0.082142857,"at",0.046428571,"but",0.046428571
"tuesday","night",0.117857143,"the",0.082142857,"we",0.046428571
"soon","as",0.046428571,"the",0.03605142,"and",0.01804056
"course","in",0.046428571,"to",0.02305507,"a",0.01962168
"played","in",0.082142857,"a",0.082142857,"two",0.046428571
"buy","a",0.189285714,"the",0.046428571,"your",0.046428571
"started","to",0.225,"the",0.082142857,"by",0.082142857
"almost","always",0.082142857,"years",0.046428571,"all",0.046428571
"old","man",0.082142857,"school",0.046428571,"the",0.03157671
"player","and",0.189285714,"who",0.046428571,"the",0.02938557
"power","of",0.082142857,"to",0.082142857,"a",0.0168222
"games","and",0.117857143,"for",0.082142857,"in",0.046428571
"reason","for",0.189285714,"to",0.117857143,"that",0.117857143
"wanted","to",0.617857143,"a",0.046428571,"another",0.010714286
"company","has",0.046428571,"for",0.046428571,"now",0.046428571
"wednesday","as",0.046428571,"the",0.046428571,"to",0.02053928
"guys","i",0.082142857,"are",0.046428571,"the",0.03252315
"including","a",0.159259259,"the",0.122222222,"and",0.01409331
"change","your",0.159259259,"their",0.048148148,"of",0.048148148
"move","on",0.122222222,"to",0.085185185,"out",0.048148148
"head","of",0.085185185,"and",0.085185185,"coach",0.048148148
"spring","break",0.085185185,"training",0.048148148,"to",0.01915246
"class","with",0.048148148,"and",0.048148148,"today",0.048148148
"number","of",0.455555556,"for",0.048148148,"the",0.01849315
"red","bull",0.048148148,"the",0.03289483,"to",0.01915027
"else","is",0.048148148,"at",0.048148148,"a",0.01905592
"thats","good",0.085185185,"not",0.085185185,"a",0.085185185
"others","and",0.085185185,"are",0.085185185,"to",0.048148148
"college","students",0.122222222,"student",0.048148148,"to",0.01892098
"often","the",0.048148148,"to",0.02195472,"of",0.01540791
"april","and",0.085185185,"to",0.02104896,"in",0.01181631
"ago","i",0.122222222,"he",0.048148148,"in",0.048148148
"fire","of",0.048148148,"started",0.048148148,"in",0.048148148
"important","to",0.048148148,"thing",0.048148148,"for",0.048148148
"twitter","to",0.048148148,"i",0.048148148,"the",0.03491915
"already","been",0.122222222,"the",0.048148148,"a",0.048148148
"seems","to",0.319230769,"more",0.05,"the",0.02422926
"cut","out",0.05,"a",0.05,"to",0.05
"watch","it",0.088461538,"out",0.05,"for",0.05
"needs","to",0.165384615,"in",0.05,"i",0.05
"district","is",0.05,"has",0.05,"the",0.03401284
"amazing","the",0.05,"and",0.018006,"a",0.01782815
"isn't","it",0.088461538,"that",0.05,"and",0.01738726
"saturday","afternoon",0.05,"to",0.05,"at",0.05
"information","on",0.088461538,"about",0.05,"and",0.05
"government","and",0.05,"the",0.03387915,"to",0.0197233
"board","of",0.203846154,"member",0.088461538,"the",0.02756141
"matter","of",0.165384615,"how",0.088461538,"what",0.088461538
"room","in",0.05,"i",0.05,"and",0.05
"case","she",0.05,"and",0.05,"a",0.01870945
"along","with",0.319230769,"the",0.319230769,"digitally",0.011538462
"asked","to",0.088461538,"if",0.088461538,"what",0.05
"black","people",0.05,"beans",0.05,"cherry",0.05
"talking","about",0.319230769,"to",0.088461538,"and",0.05
"following","me",0.126923077,"the",0.05,"you",0.05
"community","of",0.088461538,"the",0.03361349,"to",0.01956864
"meet","the",0.126923077,"you",0.088461538,"with",0.05
"line","coach",0.05,"between",0.05,"of",0.05
"couple","of",0.473076923,"the",0.01921713,"their",0.011538462
"players","to",0.126923077,"a",0.01705843,"of",0.01406647
"short","of",0.126923077,"stories",0.05,"the",0.03110258
"beer","and",0.05,"today",0.05,"tasting",0.05
"pay","for",0.165384615,"to",0.088461538,"taxes",0.05
"young","people",0.052,"man",0.052,"the",0.03211266
"looks","like",0.212,"and",0.092,"more",0.052
"interesting","that",0.092,"to",0.052,"a",0.0171819
"leave","the",0.172,"it",0.092,"to",0.01788259
"stories","stories",0.332,"and",0.092,"previously",0.052
"single","day",0.092,"incision",0.052,"and",0.052
"san","diego",0.292,"francisco",0.212,"miguel",0.052
"jobs","north",0.132,"the",0.052,"jobs",0.052
"weeks","after",0.052,"of",0.052,"ago",0.052
"heard","from",0.132,"of",0.092,"was",0.052
"beautiful","day",0.092,"beautiful",0.052,"and",0.052
"summer","camp",0.052,"the",0.03534041,"a",0.01751009
"thursday","night",0.092,"i",0.052,"the",0.03292271
"months","of",0.092,"later",0.052,"in",0.052
"meeting","of",0.092,"at",0.092,"the",0.052
"cleveland","ohio",0.132,"and",0.052,"a",0.052
"remember","the",0.132,"that",0.132,"what",0.092
"w","people",0.052,"to",0.02067115,"a",0.01759278
"s","o",0.092,"i",0.052,"the",0.03061836
"according","to",0.972,"the",0.00137637,"and",0.00068875
"country","are",0.052,"the",0.0354479,"to",0.02063657
"mr","santorum",0.052,"s",0.052,"the",0.03082563
"series","of",0.172,"i",0.052,"is",0.052
"movie","and",0.0188566,"a",0.01867036,"of",0.01539567
"means","to",0.1375,"that",0.1375,"people",0.0125
"behind","the",0.2625,"your",0.095833333,"a",0.095833333
"shot","in",0.1375,"himself",0.054166667,"to",0.01889133
"sorry","i",0.2625,"for",0.1375,"but",0.054166667
"however","the",0.054166667,"are",0.054166667,"to",0.02012569
"side","of",0.1375,"and",0.095833333,"dish",0.054166667
"former","the",0.03357031,"to",0.0195435,"and",0.01679898
"win","in",0.1375,"a",0.095833333,"to",0.054166667
"heart","and",0.1375,"of",0.054166667,"the",0.03030428
"experience","and",0.095833333,"to",0.02146122,"a",0.01826519
"sweet","thanks",0.054166667,"tea",0.054166667,"and",0.054166667
"finally","i",0.1375,"here",0.054166667,"to",0.01772405
"let's","go",0.1375,"get",0.095833333,"talk",0.054166667
"near","the",0.304166667,"to",0.01466923,"and",0.01260921
"birthday","is",0.1375,"to",0.095833333,"the",0.02869819
"large","the",0.034011,"to",0.01980006,"and",0.01701951
"special","teams",0.054166667,"treatment",0.054166667,"the",0.03137073
"knows","how",0.179166667,"that",0.1375,"what",0.1375
